column_name,local_iri,persistent_iri,theme,instrument,prefLabel_en,definition_en,datatype,value_set_id,unit,mapping_relation,mapping_uri,mapping_note
smokingstatus,var:smokingstatus,https://w3id.org/pcnn/var/smokingstatus,demographics / lifestyle,none,Do you smoke?,"Self-reported current smoking behaviour, including former smoking, occasional use, daily tobacco use by amount, and exclusive e-cigarette or vape use.",coded,smokingstatus-6,,closeMatch,http://loinc.org/72166-2,Same topic as LOINC 72166-2; PCNN uses a 6-level list including vapes.
paidjob,var:paidjob,https://w3id.org/pcnn/var/paidjob,demographics / work,none,Do you have a paid job at this moment?,"Whether the respondent currently has paid work, including partial sick leave and job loss due to long-term complaints.",coded,paidjob-4,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C95551,Employment-related concept only; response options are PCNN-specific.
hours_household,var:hours_household,https://w3id.org/pcnn/var/hours_household,demographics / activity,none,Household activities (hours per week),Hours per week spent on household activities.,number,,h/wk,relatedMatch,http://loinc.org/57253-7,"Not the same item. LOINC 57253-7 is OASIS-C functional independence, not hours per week."
hours_family,var:hours_family,https://w3id.org/pcnn/var/hours_family,demographics / activity,none,Family activities (hours per week),Hours per week spent on family activities.,number,,h/wk,relatedMatch,,No suitable exact public item found.
dsq_fatigue_freq,var:dsq_fatigue_freq,https://w3id.org/pcnn/var/dsq_fatigue_freq,symptoms / frequency,DSQ,Frequency past 6 months: Fatigue / extreme tiredness,DSQ frequency rating for fatigue or extreme tiredness over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/84229001,"SNOMED fatigue is the symptom, not this DSQ frequency item."
dsq_slowspeech_sev,var:dsq_slowspeech_sev,https://w3id.org/pcnn/var/dsq_slowspeech_sev,symptoms / severity,DSQ-2,Severity past 6 months: Slowed speech,DSQ-2 severity rating for slowed speech over the past 6 months.,coded,dsq-sev-1-4,,,,No public item IRI found for this DSQ-2 item.
dsq_memory_freq,var:dsq_memory_freq,https://w3id.org/pcnn/var/dsq_memory_freq,symptoms / frequency,DSQ-SF + DSQ-2,Frequency past 6 months: Problems remembering things,DSQ frequency rating for problems remembering things over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/386807006,"SNOMED memory concept is the symptom, not the DSQ frequency item."
dsq_exhausted_freq,var:dsq_exhausted_freq,https://w3id.org/pcnn/var/dsq_exhausted_freq,symptoms / frequency / PEM,DSQ-PEM + DSQ-2,Frequency past 6 months: Physically drained or sick after mild activity,DSQ frequency rating for feeling physically drained or sick after mild activity over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/84229001,
dsq_heavy_freq,var:dsq_heavy_freq,https://w3id.org/pcnn/var/dsq_heavy_freq,symptoms / frequency / PEM,DSQ-SF + DSQ-PEM + DSQ-2,"Frequency past 6 months: Dead, heavy feeling after starting to exercise","DSQ frequency rating for a dead, heavy feeling after starting to exercise over the past 6 months.",coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/161874006,
dsq_muscletwitch_freq,var:dsq_muscletwitch_freq,https://w3id.org/pcnn/var/dsq_muscletwitch_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Muscle twitches,DSQ-2 frequency rating for muscle twitches over the past 6 months.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_muscletwitch_sev,var:dsq_muscletwitch_sev,https://w3id.org/pcnn/var/dsq_muscletwitch_sev,symptoms / severity,DSQ-2,Severity past 6 months: Muscle twitches,DSQ-2 severity rating for muscle twitches over the past 6 months.,coded,dsq-sev-1-4,,,,No public item IRI found.
dsq_soreness_freq,var:dsq_soreness_freq,https://w3id.org/pcnn/var/dsq_soreness_freq,symptoms / frequency / PEM,DSQ-SF + DSQ-PEM + DSQ-2,Frequency past 6 months: Next-day soreness or fatigue after non-strenuous everyday activities,DSQ frequency rating for next-day soreness or fatigue after non-strenuous everyday activities.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/71393004,
dsq_minexercise_sev,var:dsq_minexercise_sev,https://w3id.org/pcnn/var/dsq_minexercise_sev,symptoms / severity / PEM,DSQ-SF + DSQ-PEM + DSQ-2,Severity past 6 months: Minimum exercise makes you physically tired,DSQ severity rating for becoming physically tired after minimum exercise.,coded,dsq-sev-1-4,,relatedMatch,http://snomed.info/id/408578001,
dsq_pain_freq,var:dsq_pain_freq,https://w3id.org/pcnn/var/dsq_pain_freq,symptoms / frequency,DSQ-SF + DSQ-2,Frequency past 6 months: Pain or aching in your muscles,DSQ frequency rating for muscle pain or aching over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/68962001,
dsq_forgetful_freq,var:dsq_forgetful_freq,https://w3id.org/pcnn/var/dsq_forgetful_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Absent-mindedness or forgetfulness,DSQ-2 frequency rating for absent-mindedness or forgetfulness over the past 6 months.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_shortbreath_freq,var:dsq_shortbreath_freq,https://w3id.org/pcnn/var/dsq_shortbreath_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Shortness of breath,DSQ-2 frequency rating for shortness of breath or trouble catching breath over the past 6 months.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_noappetite_freq,var:dsq_noappetite_freq,https://w3id.org/pcnn/var/dsq_noappetite_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: No appetite,DSQ-2 frequency rating for no appetite over the past 6 months.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_unablestand_freq,var:dsq_unablestand_freq,https://w3id.org/pcnn/var/dsq_unablestand_freq,symptoms / frequency / POTS,DSQ-POTS + DSQ-2,Frequency past 6 months: Inability to tolerate an upright position,DSQ frequency rating for inability to tolerate an upright position over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/870368003,
dsq_bloating_freq,var:dsq_bloating_freq,https://w3id.org/pcnn/var/dsq_bloating_freq,symptoms / frequency,DSQ-SF + DSQ-2,Frequency past 6 months: Bloating,DSQ frequency rating for bloating over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/116289008,
dsq_slowthink_freq,var:dsq_slowthink_freq,https://w3id.org/pcnn/var/dsq_slowthink_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Slowness of thought,DSQ-2 frequency rating for slowness of thought over the past 6 months.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_ibs_freq,var:dsq_ibs_freq,https://w3id.org/pcnn/var/dsq_ibs_freq,symptoms / frequency,DSQ-SF + DSQ-2,Frequency past 6 months: Irritable bowel problems,DSQ frequency rating for irritable bowel problems over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/10743008,
dsq_irregularhb_freq,var:dsq_irregularhb_freq,https://w3id.org/pcnn/var/dsq_irregularhb_freq,symptoms / frequency / POTS,DSQ-2,Frequency past 6 months: Irregular heart beats,DSQ-2 frequency rating for irregular heart beats over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C168414,
